"Activity" "Subject" "mean"
"laying" 1 -0.681581978523055
"laying" 2 -0.743126753233842
"laying" 3 -0.734347688677236
"laying" 4 -0.728668034663377
"laying" 5 -0.739085358855865
"laying" 6 -0.714481502407656
"laying" 7 -0.723857064735047
"laying" 8 -0.722406520353446
"laying" 9 -0.726146510489097
"laying" 10 -0.751454042087244
"laying" 11 -0.739250481303299
"laying" 12 -0.72760644728624
"laying" 13 -0.731168410513377
"laying" 14 -0.706780359580511
"laying" 15 -0.732694054370465
"laying" 16 -0.743287358888657
"laying" 17 -0.731324690617382
"laying" 18 -0.746133039821382
"laying" 19 -0.742143249540819
"laying" 20 -0.737847526254904
"laying" 21 -0.729316795500066
"laying" 22 -0.718920180798411
"laying" 23 -0.738453366680006
"laying" 24 -0.738162801094621
"laying" 25 -0.6550466559966
"laying" 26 -0.744683873718817
"laying" 27 -0.747039773104429
"laying" 28 -0.749711337306598
"laying" 29 -0.747047283845479
"laying" 30 -0.73371945664569
"sitting" 1 -0.725010256710861
"sitting" 2 -0.737361985616243
"sitting" 3 -0.707845449974583
"sitting" 4 -0.717843420704141
"sitting" 5 -0.71816250875378
"sitting" 6 -0.7166252231237
"sitting" 7 -0.712354376735631
"sitting" 8 -0.72745694109493
"sitting" 9 -0.704523755500333
"sitting" 10 -0.73712845579557
"sitting" 11 -0.730213416461106
"sitting" 12 -0.727919507003818
"sitting" 13 -0.735239423441511
"sitting" 14 -0.730278809106672
"sitting" 15 -0.733838697315558
"sitting" 16 -0.734763414612203
"sitting" 17 -0.747004627057666
"sitting" 18 -0.743850843467203
"sitting" 19 -0.728175891288928
"sitting" 20 -0.726102407642704
"sitting" 21 -0.743125990670937
"sitting" 22 -0.720164924412542
"sitting" 23 -0.726113491116866
"sitting" 24 -0.737144249115584
"sitting" 25 -0.737614646951336
"sitting" 26 -0.732209186814351
"sitting" 27 -0.738607565821911
"sitting" 28 -0.731041115599865
"sitting" 29 -0.739022156685121
"sitting" 30 -0.732058477455571
"standing" 1 -0.751886863913404
"standing" 2 -0.739970261016944
"standing" 3 -0.712068206745217
"standing" 4 -0.705320467661402
"standing" 5 -0.698248943096751
"standing" 6 -0.723169679977658
"standing" 7 -0.725824852727622
"standing" 8 -0.735324128855415
"standing" 9 -0.719415113824515
"standing" 10 -0.721542732014904
"standing" 11 -0.747503181881309
"standing" 12 -0.719351505561252
"standing" 13 -0.742391626905495
"standing" 14 -0.733750919831609
"standing" 15 -0.733951795404
"standing" 16 -0.744597444550344
"standing" 17 -0.753476669240357
"standing" 18 -0.744424330919073
"standing" 19 -0.73554803643265
"standing" 20 -0.703585407231564
"standing" 21 -0.740332493442983
"standing" 22 -0.726785296080127
"standing" 23 -0.735074230891955
"standing" 24 -0.734420049761198
"standing" 25 -0.739256665905592
"standing" 26 -0.740410224586124
"standing" 27 -0.743828559458429
"standing" 28 -0.712417065277087
"standing" 29 -0.746979641390065
"standing" 30 -0.714291901922109
"walking" 1 -0.193204572492262
"walking" 2 -0.32544820638322
"walking" 3 -0.317947801074047
"walking" 4 -0.392128132692634
"walking" 5 -0.290846535887125
"walking" 6 -0.231135633132547
"walking" 7 -0.184567020446338
"walking" 8 -0.16056841343373
"walking" 9 -0.286806225658878
"walking" 10 -0.207316119201447
"walking" 11 -0.379016958409591
"walking" 12 -0.256034499452433
"walking" 13 -0.210988794167055
"walking" 14 -0.288349500486322
"walking" 15 -0.306114313281622
"walking" 16 -0.383138718688577
"walking" 17 -0.309280113929322
"walking" 18 -0.394478845416299
"walking" 19 -0.0739875703910806
"walking" 20 -0.0954032717082775
"walking" 21 -0.239612750488894
"walking" 22 -0.161843378710114
"walking" 23 -0.0969339947223061
"walking" 24 -0.356957437224817
"walking" 25 -0.42015627084922
"walking" 26 -0.318740418835688
"walking" 27 -0.315300610673124
"walking" 28 -0.313871992811888
"walking" 29 -0.256846692509308
"walking" 30 -0.267020565167016
"walking_downstairs" 1 -0.149358035365099
"walking_downstairs" 2 -0.106411521321941
"walking_downstairs" 3 -0.232708366871836
"walking_downstairs" 4 -0.281840698460603
"walking_downstairs" 5 -0.149721994636294
"walking_downstairs" 6 -0.000804104618582071
"walking_downstairs" 7 -0.164658253921528
"walking_downstairs" 8 -0.00103612319688198
"walking_downstairs" 9 -0.162548480947928
"walking_downstairs" 10 -0.108732322835411
"walking_downstairs" 11 -0.220718087092131
"walking_downstairs" 12 -0.179277771565335
"walking_downstairs" 13 -0.170802030677804
"walking_downstairs" 14 0.00341910027488552
"walking_downstairs" 15 -0.114055542511411
"walking_downstairs" 16 -0.21577265313244
"walking_downstairs" 17 -0.233445826587078
"walking_downstairs" 18 -0.377526737575512
"walking_downstairs" 19 0.154941520892261
"walking_downstairs" 20 -0.0458055951405788
"walking_downstairs" 21 -0.139645365609202
"walking_downstairs" 22 -0.147381918801591
"walking_downstairs" 23 -0.00547247287462682
"walking_downstairs" 24 -0.241425533951455
"walking_downstairs" 25 -0.345951992614543
"walking_downstairs" 26 -0.175493103647397
"walking_downstairs" 27 -0.180615867943192
"walking_downstairs" 28 -0.139396563077246
"walking_downstairs" 29 -0.178812689061223
"walking_downstairs" 30 -0.217523391374438
